End of Month,Category,Target Sales
2017-07-31,Accessories,"$2,000 "
2017-07-31,Bikes,"$1,400,000 "
2017-07-31,Clothing,"$3,000 "
2017-07-31,Components,"$30,000 "
2017-08-31,Accessories,"$4,000 "
2017-08-31,Bikes,"$1,900,000 "
2017-08-31,Clothing,"$7,000 "
2017-08-31,Components,"$100,000 "
2017-09-30,Accessories,"$5,000 "
2017-09-30,Bikes,"$2,300,000 "
2017-09-30,Clothing,"$9,000 "
2017-09-30,Components,"$200,000 "
2017-10-31,Bikes,"$600,000 "
2017-11-30,Accessories,"$10,000 "
2017-11-30,Bikes,"$4,400,000 "
2017-11-30,Clothing,"$20,000 "
2017-11-30,Components,"$300,000 "
2017-12-31,Bikes,"$600,000 "
2018-01-31,Accessories,"$1,000 "
2018-01-31,Bikes,"$1,300,000 "
2018-01-31,Clothing,"$2,000 "
2018-01-31,Components,"$20,000 "
2018-02-28,Accessories,"$4,000 "
2018-02-28,Bikes,"$3,800,000 "
2018-02-28,Clothing,"$10,000 "
2018-02-28,Components,"$200,000 "
2018-03-31,Bikes,"$700,000 "
2018-04-30,Accessories,"$2,000 "
2018-04-30,Bikes,"$1,500,000 "
2018-04-30,Clothing,"$4,000 "
2018-04-30,Components,"$60,000 "
2018-05-31,Accessories,"$6,000 "
2018-05-31,Bikes,"$2,800,000 "
2018-05-31,Clothing,"$9,000 "
2018-05-31,Components,"$200,000 "
2018-06-30,Accessories,"$4,000 "
2018-06-30,Bikes,"$1,300,000 "
2018-06-30,Clothing,"$7,000 "
2018-06-30,Components,"$100,000 "
2018-07-31,Accessories,"$10,000 "
2018-07-31,Bikes,"$2,300,000 "
2018-07-31,Clothing,"$70,000 "
2018-07-31,Components,"$500,000 "
2018-08-31,Accessories,"$20,000 "
2018-08-31,Bikes,"$3,000,000 "
2018-08-31,Clothing,"$100,000 "
2018-08-31,Components,"$800,000 "
2018-09-30,Accessories,"$20,000 "
2018-09-30,Bikes,"$2,600,000 "
2018-09-30,Clothing,"$90,000 "
2018-09-30,Components,"$600,000 "
2018-10-31,Accessories,"$9,000 "
2018-10-31,Bikes,"$1,800,000 "
2018-10-31,Clothing,"$50,000 "
2018-10-31,Components,"$300,000 "
2018-11-30,Accessories,"$10,000 "
2018-11-30,Bikes,"$3,100,000 "
2018-11-30,Clothing,"$70,000 "
2018-11-30,Components,"$500,000 "
2018-12-31,Accessories,"$10,000 "
2018-12-31,Bikes,"$2,200,000 "
2018-12-31,Clothing,"$60,000 "
2018-12-31,Components,"$400,000 "
2019-01-31,Accessories,"$5,000 "
2019-01-31,Bikes,"$1,700,000 "
2019-01-31,Clothing,"$30,000 "
2019-01-31,Components,"$100,000 "
2019-02-28,Accessories,"$6,000 "
2019-02-28,Bikes,"$2,600,000 "
2019-02-28,Clothing,"$40,000 "
2019-02-28,Components,"$200,000 "
2019-03-31,Accessories,"$5,000 "
2019-03-31,Bikes,"$1,900,000 "
2019-03-31,Clothing,"$30,000 "
2019-03-31,Components,"$200,000 "
2019-04-30,Accessories,"$10,000 "
2019-04-30,Bikes,"$2,100,000 "
2019-04-30,Clothing,"$50,000 "
2019-04-30,Components,"$300,000 "
2019-05-31,Accessories,"$10,000 "
2019-05-31,Bikes,"$2,900,000 "
2019-05-31,Clothing,"$80,000 "
2019-05-31,Components,"$400,000 "
2019-06-30,Accessories,"$20,000 "
2019-06-30,Bikes,"$2,400,000 "
2019-06-30,Clothing,"$70,000 "
2019-06-30,Components,"$400,000 "
2019-07-31,Accessories,"$80,000 "
2019-07-31,Bikes,"$2,700,000 "
2019-07-31,Clothing,"$100,000 "
2019-07-31,Components,"$600,000 "
2019-08-31,Accessories,"$100,000 "
2019-08-31,Bikes,"$4,100,000 "
2019-08-31,Clothing,"$200,000 "
2019-08-31,Components,"$900,000 "
2019-09-30,Accessories,"$100,000 "
2019-09-30,Bikes,"$3,900,000 "
2019-09-30,Clothing,"$100,000 "
2019-09-30,Components,"$1,000,000 "
2019-10-31,Accessories,"$90,000 "
2019-10-31,Bikes,"$3,100,000 "
2019-10-31,Clothing,"$90,000 "
2019-10-31,Components,"$300,000 "
2019-11-30,Accessories,"$100,000 "
2019-11-30,Bikes,"$4,400,000 "
2019-11-30,Clothing,"$100,000 "
2019-11-30,Components,"$500,000 "
2019-12-31,Accessories,"$100,000 "
2019-12-31,Bikes,"$4,100,000 "
2019-12-31,Clothing,"$100,000 "
2019-12-31,Components,"$500,000 "
2020-01-31,Accessories,"$80,000 "
2020-01-31,Bikes,"$2,900,000 "
2020-01-31,Clothing,"$70,000 "
2020-01-31,Components,"$100,000 "
2020-02-29,Accessories,"$80,000 "
2020-02-29,Bikes,"$3,600,000 "
2020-02-29,Clothing,"$80,000 "
2020-02-29,Components,"$300,000 "
2020-03-31,Accessories,"$80,000 "
2020-03-31,Bikes,"$4,000,000 "
2020-03-31,Clothing,"$90,000 "
2020-03-31,Components,"$200,000 "
2020-04-30,Accessories,"$100,000 "
2020-04-30,Bikes,"$3,500,000 "
2020-04-30,Clothing,"$100,000 "
2020-04-30,Components,"$300,000 "
2020-05-31,Accessories,"$100,000 "
2020-05-31,Bikes,"$4,500,000 "
2020-05-31,Clothing,"$100,000 "
2020-05-31,Components,"$500,000 "
2020-06-30,Accessories,"$70,000 "
2020-06-30,Bikes,"$2,700,000 "
2020-06-30,Clothing,"$100,000 "
2020-06-30,Components,"$600,000 "
